Cell	20081128_sulston	20190417_ref-2_JIM529_L2	20181207_JIM529_L4	20181030_JIM529_L2	20181101_JIM529_L4	20190321_ref-2_JIM529_L2	20190423_ref-2_JIM529_L2	20190417_ref-2_JIM529_L8	20190417_ref-2_JIM529_L7
ABalpaaaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaaaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaaap	234	149	181.4	188.5	221.9	222	171.1	155.7	155.7
ABalpaaapa	344	211.9	NA	284.2	295.7	299.5	242.7	223.7	NA
ABalpaaapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaaapap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaaapp	339	217	NA	274	299.5	301.1	241.2	225.4	NA
ABalpaaappa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaaappp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaap	171	95.1	114.2	113.3	159.6	154.1	110.7	96.8	102.1
ABalpaapa	220	133.9	156.4	164.7	207	205.1	156	142.3	138.9
ABalpaapaa	299	196.7	NA	238.7	280.7	287.7	221.9	201.8	NA
ABalpaapaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaapaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaapap	279	179.2	NA	222.4	258.1	257.4	204	188.3	NA
ABalpaapapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaapapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaapp	229	140.6	167.7	171	215.7	211.9	165	145.7	144
ABalpaappa	304	206.8	NA	263.9	299.5	292.7	241.2	217	NA
ABalpaappaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaappap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaappp	294	200.1	NA	241.3	288.2	282.6	227.8	205.1	NA
ABalpaapppa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaapppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpap	132	64.1	80.9	73.1	121.5	113.9	77.2	65.8	71
ABalpapa	171	95.1	116.7	112	162.1	155.7	112.2	98.6	103.8
ABalpapaa	224	135.6	164	164.7	210.6	208.5	159	144	145.7
ABalpapaaa	284	191.6	NA	233.8	278.1	279.3	215.9	205.1	NA
ABalpapaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapaaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapaap	309	200.1	NA	248.9	290.6	NA	235.3	217	NA
ABalpapaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapap	224	135.6	160.2	163.4	209.4	208.5	156	142.3	145.7
ABalpapapa	284	191.6	NA	232.5	278.1	275.9	214.4	203.5	NA
ABalpapapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapapap	389	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapapapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapapapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapapp	304	203.5	NA	245	289.4	294.4	230.8	211.9	NA
ABalpapappa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapappp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapp	171	91.7	111.6	108.1	157.1	149	109.2	95.1	100.3
ABalpappa	214	128.9	151.3	154.5	199.5	198.4	149.9	133.9	135.6
ABalpappaa	299	189.9	NA	237.5	274.4	274.2	220.4	200.1	NA
ABalpappaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpappaap	389	NA	NA	NA	NA	NA	NA	NA	NA
ABalpappaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpappaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpappap	269	175.9	NA	213.6	254.4	259.1	204	183.2	NA
ABalpappapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpappapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpappp	211	130.6	152.6	154.5	199.5	196.7	149.9	132.3	137.3
