series	parent	daughter1	x1	y1	z1	daughter2	x2	y2	z2	dx	dy	dz	refx	refy	refz	dot
20190417_ref-2_JIM529_L2	ABaraapap	ABaraapapa	14.5107427735272	28.1615936783615	17.64	ABaraapapp	19.298638597066	27.4858018591309	18.648	0.969346630287056	-0.136819293253238	0.204077415077746	0.937917510338439	-0.0829329680530807	-0.115983843637951	0.896844325209792
20190417_ref-2_JIM529_L2	ABaraapapa	ABaraapapaa	18.8570309176249	29.0499513588459	18.144	ABaraapapap	23.032993699343	29.0675821757673	16.128	0.900543610266715	0.00380207400120004	-0.434749065831176	0.90440220571265	-0.122564576221679	-0.298041978036564	0.943561099406802
20190417_ref-2_JIM529_L2	ABaraapapp	ABaraapappa	22.8589952501047	29.0668475583955	17.64	ABaraapappp	25.6525204637492	26.8166215962458	16.128	0.717623944926893	-0.57805672347165	-0.388415110567013	0.423504876262062	-0.81764967353945	-0.136544976534828	0.829601263390981
20190417_ref-2_JIM529_L2	ABaraapp	ABaraappa	19.7615501802872	20.8756973315066	23.688	ABaraappp	24.4536313707463	22.2875195944492	24.192	0.952564314028766	0.286621533353921	0.102319715875063	0.9262631720699	0.249929895887586	0.0628973264318331	0.960396169672965
20190417_ref-2_JIM529_L2	ABaraappa	ABaraappaa	12.8849383485176	21.7166721915147	18.396	ABaraappap	15.929911210187	21.7295279955199	17.136	0.924008597192255	0.00390114262565199	-0.3823517927263	0.895965277397001	0.197959975260391	-0.232752783935327	0.917645333397943
20190417_ref-2_JIM529_L2	ABaraappaa	ABaraappaaa	13.6569121095138	24.3299547082613	14.112	ABaraappaap	16.2720311696897	23.1229848241694	13.104	0.856992967428752	-0.395532546994432	-0.330328712112283	0.785713368450587	-0.0344706628804519	-0.523514847339653	0.859917085555966
20190417_ref-2_JIM529_L2	ABaraappap	ABaraappapa	18.8739271171745	25.047987026366	16.128	ABaraappapp	21.1359069572718	25.0575370521985	15.12	0.913403321446335	0.00385636740019016	-0.407037468547156	0.914416299377582	0.0892410830200294	-0.234742169528569	0.931123889885642
20190417_ref-2_JIM529_L2	ABaraappp	ABaraapppa	17.6625495288523	23.4768586616197	17.64	ABaraapppp	22.35830380617	24.018688678371	18.648	0.971563630120849	0.112106023206153	0.208557791001201	0.906688580388824	0.0966809928884921	-0.316645650282926	0.82570525283089
20190417_ref-2_JIM529_L2	ABaraapppa	ABaraapppaa	19.0538025053866	23.6567340498317	19.152	ABaraapppap	21.8385123105704	23.4944894785411	17.64	0.877663970759091	-0.0511350282919923	-0.47654083068816	0.877315612853915	-0.0678634405214576	-0.391490338807899	0.960019634599275
20190417_ref-2_JIM529_L2	ABaraapppp	ABaraappppa	24.4492236665159	23.3315102898787	19.152	ABaraappppp	25.6613358722099	24.7286402053868	17.136	0.443030924197961	0.510655494420825	-0.736854508177919	0.224259950215331	0.805861548742874	-0.395194349851172	0.802072458906789
20190417_ref-2_JIM529_L2	ABarap	ABarapa	20.6513770955151	16.1814122889323	8.064	ABarapp	24.1298768455367	16.5441015348433	14.616	0.468359171301462	0.0488339361397909	0.882187583985913	0.582062001778082	0.644644272371991	0.374269938728841	0.6342708870345
20190417_ref-2_JIM529_L2	ABarapa	ABarapaa	22.5741754455966	14.1015116891623	12.6	ABarapap	24.8339514335787	14.6330570627095	12.096	0.951272239832831	0.223758620658027	-0.212163157510079	0.921119701382237	0.114953946978587	-0.0399579131513302	0.910435135124853
20190417_ref-2_JIM529_L2	ABarapaa	ABarapaaa	14.0232744422835	19.9814627120484	20.16	ABarapaap	18.3805818469571	18.259843653959	21.672	0.885086144318764	-0.34970706277819	0.307127803003888	0.887828685776956	0.135641962769028	0.314539983643193	0.834973890053709
20190417_ref-2_JIM529_L2	ABarapaaa	ABarapaaaa	15.7456281177446	24.1647716674837	24.192	ABarapaaap	17.663284146224	23.3028602123814	25.704	0.740499361407819	-0.332825528986772	0.583856029350804	0.823528137550652	0.168950377821851	0.22986396598371	0.687798523556633
20190417_ref-2_JIM529_L2	ABarapaaaa	ABarapaaaaa	15.5650181121608	25.7300230932563	25.704	ABarapaaaap	17.8262633348864	25.9135715683269	25.704	0.996721791395913	0.0809053184686969	0	0.829544222282226	-0.0244571356738335	-0.49851933712049	0.824846090924746
20190417_ref-2_JIM529_L2	ABarapaaap	ABarapaaapa	17.6529995030199	25.738838501717	27.216	ABarapaaapp	21.1348050312143	25.3185347260558	27.72	0.982697062992929	-0.118625604607282	0.142247841166844	0.932921617700955	-0.23867664230724	0.0335674755909201	0.949867395652902
20190417_ref-2_JIM529_L2	ABarapaap	ABarapaapa	15.916688097496	24.8615000818085	21.672	ABarapaapp	19.7431847459941	25.2256585624629	22.68	0.962941559690561	0.0916408316922435	0.253664168907362	0.841168613229417	0.326317213560902	0.0801779808168754	0.860238478100681
20190417_ref-2_JIM529_L2	ABarapaapa	ABarapaapaa	16.8751488030498	24.5175435788764	20.664	ABarapaapap	18.3578087084336	23.6537955803448	20.16	0.829044942695186	-0.482973814389594	-0.281816922141843	0.418614146706635	-0.513597497579641	-0.631362867348305	0.773032823765534
20190417_ref-2_JIM529_L2	ABarapaapp	ABarapaappa	19.9179178126041	25.0523947305964	22.68	ABarapaappp	23.2268268176178	24.3703586637061	20.16	0.785070966899807	-0.161819715707728	-0.597894603203	0.649713018467547	-0.077732001717615	-0.740347610205408	0.965299238671098
20190417_ref-2_JIM529_L2	ABarapap	ABarapapa	21.3444324229812	16.8803445553723	21.672	ABarapapp	25.8617805468303	18.4654306501814	23.184	0.899786669182535	0.31572491172113	0.30116727923213	0.810049792965802	0.427603654664694	0.130592583994914	0.903207344414986
20190417_ref-2_JIM529_L2	ABarapapa	ABarapapaa	20.442117012434	24.5326032349968	25.2	ABarapapap	22.5300984032931	24.5414186434575	26.208	0.900543610266716	0.0038020740012008	0.434749065831175	0.878456804624647	0.383806205847098	0.0854524240197432	0.829698283412386
20190417_ref-2_JIM529_L2	ABarapapaa	ABarapapaaa	17.8336095086037	24.1735870759444	23.184	ABarapapaap	21.4868423252353	24.3630124899889	24.192	0.962776366550559	0.0499213493965682	0.265649255384105	0.841009931447089	-0.100021562567882	0.315416540064541	0.888501443663397
20190417_ref-2_JIM529_L2	ABarapapap	ABarapapapa	22.8758914496544	25.0648832259157	24.696	ABarapapapp	26.5254511794274	26.1243008861515	24.696	0.960355522310424	0.278778174841347	0	0.897390035684932	0.0846136002801616	-0.323515682411573	0.885401901489232
20190417_ref-2_JIM529_L2	ABarapapp	ABarapappa	21.3268016060598	21.0563073370903	22.176	ABarapappp	25.6723551327858	22.118663466813	23.184	0.947634702701377	0.231667963347166	0.219814524075754	0.896273073334783	0.0764500227236591	0.345565876274155	0.943010887081115
20190417_ref-2_JIM529_L2	ABarapappa	ABarapappaa	19.0589448269887	22.438744905164	21.672	ABarapappap	22.5367099596386	22.9754326003132	21.168	0.978317843381735	0.150973722623953	-0.141778462391075	0.855794058391381	0.206341351391035	-0.228359680923763	0.900767203968608
20190417_ref-2_JIM529_L2	ABarapappp	ABarapapppa	24.9719536316024	23.1597156927556	22.68	ABarapapppp	30.5347616856245	24.4012125933186	23.184	0.972195596217424	0.21697276046982	0.0880825970867915	0.932835648788377	0.16756337754955	-0.227538990733454	0.923213173084946
20190417_ref-2_JIM529_L2	ABarapp	ABarappa	26.7486689925712	14.4671394045602	14.616	ABarappp	32.1389478320984	15.3599047892749	15.12	0.982389262226696	0.162708303919278	0.0918550232562145	0.717767699222208	0.621629486345178	0.0617935573065317	0.81194760852197
20190417_ref-2_JIM529_L2	ABarappa	ABarappaa	21.8767124139001	14.4465701181519	17.64	ABarappap	26.5724666912178	14.9884001349032	18.648	0.971563630120849	0.112106023206153	0.208557791001201	0.918666570816202	0.074348946495269	0.108567333991413	0.923520556486151
20190417_ref-2_JIM529_L2	ABarappaa	ABarappaaa	18.5464995051063	20.1745612129515	25.2	ABarappaap	23.2429883997957	20.5423927804646	26.208	0.974879552057945	0.0763530973479805	0.209236859813632	0.929225079523003	-0.0478482002516625	-0.0622347976542716	0.889207357362336
20190417_ref-2_JIM529_L2	ABarappaaa	ABarappaaaa	18.3636856474074	22.2618079864388	25.704	ABarappaaap	21.3223939018294	22.1002980325199	26.208	0.984375405081942	-0.0537350805291783	0.167683043240169	0.878305781321416	-0.276782093871267	-0.235680422340342	0.839935906927131
20190417_ref-2_JIM529_L2	ABarappaap	ABarappaapa	21.1439877483608	23.1435541105777	27.216	ABarappaapp	23.5784968029529	23.5018356522583	27.216	0.98934359848398	0.145599602124348	0	0.941184886871623	-0.0541794132542223	-0.0808176583856636	0.923266741803164
20190417_ref-2_JIM529_L2	ABarappap	ABarappapa	22.4691780953702	18.3641063868136	24.192	ABarappapp	27.2552373754797	18.1233106906787	24.696	0.993258486635491	-0.0499727134023004	0.104595920770298	0.907142445541701	0.267730965573271	0.142365088937581	0.902538497373025
20190417_ref-2_JIM529_L2	ABarappapa	ABarappapaa	22.8971953534344	20.0189281980063	25.2	ABarappapap	27.0709542830373	20.5585543626425	26.712	0.933336777376364	0.120671307084187	0.338113731817118	0.933998205686376	0.181653150156936	0.0436492332172771	0.908413603570075
20190417_ref-2_JIM529_L2	ABarappapp	ABarappappa	29.5179518329488	17.9588622672728	25.2	ABarappappp	32.8268608379625	17.2768262003826	24.696	0.968691186733761	-0.199667723116607	-0.147547230030821	0.92907035976194	-0.0439630169104806	-0.243593520968586	0.944701814117178
20190417_ref-2_JIM529_L2	ABarappp	ABarapppa	24.8210956295735	17.6780299243789	14.112	ABarapppp	30.3916171659986	17.0925431079402	16.632	0.906958752699818	-0.0953254357401151	0.410291216335602	0.858992804505777	0.134156447738872	0.317651865022889	0.896612290786138
20190417_ref-2_JIM529_L2	ABarapppa	ABarapppaa	17.3387950036427	17.7334406020138	22.176	ABarapppap	20.9854162639288	19.4888520592026	22.68	0.894130751353986	0.430416885418051	0.123577927762932	0.896689226810271	-0.156633039984636	0.139204975135374	0.751542569236664
20190417_ref-2_JIM529_L2	ABarapppaa	ABarapppaaa	15.4130581840743	20.5093349987369	24.696	ABarapppaap	17.7624045574766	20.4322531086361	25.452	0.951463870368131	-0.0312174630020297	0.306173110164517	0.925338757580073	-0.0694782559745625	0.139445207028676	0.92528970330761
20190417_ref-2_JIM529_L2	ABarapppap	ABarapppapa	20.4626862988423	19.6606466563257	26.208	ABarapppapp	23.7737991559712	18.4566152417207	26.712	0.930323692545158	-0.338296820407077	0.141608927655017	0.950783759508754	0.12638661766598	-0.0228076560165619	0.838550699348916
20190417_ref-2_JIM529_L2	ABarapppp	ABarappppa	22.2136900518007	17.0580160914691	23.184	ABarappppp	27.0008512579679	16.5562227214768	22.176	0.973435195982469	-0.102036114186401	-0.204969633419959	0.882215867051654	0.00324452172947889	-0.329234087156235	0.925931907206369
20190417_ref-2_JIM529_L2	ABarappppa	ABarappppaa	17.8549134123837	19.1276320480351	23.184	ABarappppap	21.8561431274918	19.318526696823	23.184	0.998863865035487	0.0476547912215416	0	0.931571965620838	0.102577200527663	0.161402149856655	0.935401869213972
20190417_ref-2_JIM529_L2	ABarappppp	ABarapppppa	23.9529399268115	17.2393607144246	24.192	ABarapppppp	25.6899859497072	17.9427006850949	24.696	0.895095393823978	0.362429296484488	0.259709917032169	0.941882217957446	-0.0367332367458645	-0.150014904548774	0.79080087525307
20190417_ref-2_JIM529_L2	ABarp	ABarpa	21.8620200664656	17.926539102917	6.048	ABarpp	29.6897464300718	18.4815922323593	5.04	0.989366774284639	0.0701546143444922	-0.127403752016118	0.870263187066331	0.212398495564838	-0.354783014029012	0.92111090384907
20190417_ref-2_JIM529_L2	ABarpa	ABarpaa	19.2307394241118	22.9614748702504	0.504	ABarpap	23.4059675884581	23.1531041364101	6.048	0.601358318603257	0.027600372663942	0.798502593656073	0.657520633171923	0.416756551747506	0.54974193225293	0.845878497295053
20190417_ref-2_JIM529_L2	ABarpaa	ABarpaaa	18.7359249191508	16.5213283963199	5.544	ABarpaap	21.6770023566515	20.535781224119	2.016	0.48212730945592	0.658084454399577	-0.578340823696898	0.600031706126703	0.33384933272937	-0.637074863319041	0.877439129252506
20190417_ref-2_JIM529_L2	ABarpaaa	ABarpaaaa	11.2150568812045	25.7116576589631	4.032	ABarpaaap	15.2082058052236	27.8165352493719	1.512	0.772408995481124	0.407153956978374	-0.487452560785861	0.880216555770442	0.157870063393593	-0.244651638397064	0.863420674284736
20190417_ref-2_JIM529_L2	ABarpaaaa	ABarpaaaaa	14.1796420746003	24.1581601111382	5.04	ABarpaaaap	16.25513497014	27.1249491566492	2.52	0.470490501124445	0.672537144190035	-0.571255177688904	0.587000152977225	0.584476639900338	-0.481330265160541	0.944222652530073
20190417_ref-2_JIM529_L2	ABarpaaaaa	ABarpaaaaal	8.254879392039	26.2211645113586	7.056	ABarpaaaaar	6.34971185887891	24.1251023294106	10.584	-0.421090124893024	-0.463282661822408	0.77977707197142	-0.273371516014223	-0.686394793134307	0.596116586957797	0.897946899376475
20190417_ref-2_JIM529_L2	ABarpaaaap	ABarpaaaapa	9.47286853670678	26.2263068329607	6.048	ABarpaaaapp	12.4279037042702	26.934789125233	5.04	0.922986931532716	0.221290055755548	-0.314842556595399	0.80877609341477	0.341158708325917	-0.291944801401883	0.913901442002954
20190417_ref-2_JIM529_L2	ABarpaaap	ABarpaaapa	16.7837418742003	25.5611669656201	5.04	ABarpaaapp	20.2607723894785	26.2718531100076	4.032	0.942465366131548	0.192634799818895	-0.273223109456834	0.855331177004695	0.0300178686274878	-0.398126602743205	0.920679885372488
20190417_ref-2_JIM529_L2	ABarpaaapa	ABarpaaapaa	8.43255092813588	25.351906882539	8.568	ABarpaaapap	11.5733384228851	23.277148604371	7.056	0.774257627640861	-0.51146326361403	-0.372733760227366	0.795938986994757	-0.482730141175922	-0.178948816457695	0.929860830514643
20190417_ref-2_JIM529_L2	ABarpaap	ABarpaapa	19.9142447257454	25.9223869767876	2.52	ABarpaapp	25.3052581826444	26.6411539122641	3.024	0.986999856865526	0.131593598885773	0.0922735459366425	0.91529334011114	0.214630598267942	0.166971121285178	0.94704542596675
20190417_ref-2_JIM529_L2	ABarpaapa	ABarpaapaa	20.608769287955	26.2733223447511	5.544	ABarpaapap	24.6122028551783	25.9422216458242	3.528	0.89072220526969	-0.0736664515002791	-0.448538969280102	0.935056295265957	0.103235531151784	-0.219938290518701	0.923921304256388
20190417_ref-2_JIM529_L2	ABarpaapp	ABarpaappa	28.791838723755	25.0898602165544	3.528	ABarpaappp	34.0073844966723	26.1558894331356	3.528	0.97974394599696	0.200254338984968	0	0.954383190664952	0.239489195386693	0.0254088232294939	0.983009903731453
20190417_ref-2_JIM529_L2	ABarpap	ABarpapa	24.8097090603118	20.3750058875718	11.088	ABarpapp	27.9336003555113	22.3022119418837	12.6	0.786922714218313	0.485472148613976	0.380879816697357	0.812076970997587	0.414826283593098	-0.29790606616889	0.726962013493662
20190417_ref-2_JIM529_L2	ABarpapa	ABarpapaa	20.1227701914548	17.7451944799614	4.536	ABarpapap	24.6357106110735	20.3742712702001	3.024	0.829988319090756	0.483521345950997	-0.278076425075261	0.901724141822107	0.186888493972011	-0.105671392876028	0.868169804066276
20190417_ref-2_JIM529_L2	ABarpapaa	ABarpapaaa	14.3778828971055	18.4169459036475	5.04	ABarpapaap	19.2439625368028	19.8295027839619	3.528	0.920257017270142	0.267138123017515	-0.285944479568569	0.912734483386982	0.0834273162971065	-0.104736743210549	0.892185823454353
20190417_ref-2_JIM529_L2	ABarpapaaa	ABarpapaaaa	10.1886970026964	21.5312871730147	7.056	ABarpapaaap	13.3265460279587	20.1525226917997	5.544	0.83763186731798	-0.368053739263393	-0.403620242143067	0.867027397487805	-0.243286515249119	-0.189373660238021	0.892227332224146
20190417_ref-2_JIM529_L2	ABarpapaap	ABarpapaapa	15.7588512304357	21.0327995811951	7.56	ABarpapaapp	18.3725010558681	20.1738265955798	4.032	0.584199388290778	-0.191996451809219	-0.788573672660552	0.753817338876814	-0.117665715045246	-0.562871537337539	0.906836703477453
20190417_ref-2_JIM529_L2	ABarpapap	ABarpapapa	19.759346328172	21.3976926792213	6.048	ABarpapapp	23.7517606348195	23.6765687188683	3.024	0.725567090526872	0.414154777224647	-0.549570939594128	0.937167776231603	0.177467118668618	-0.131331632126864	0.825653000199195
20190417_ref-2_JIM529_L2	ABarpapp	ABarpappa	27.9387426771134	21.0842227972159	2.52	ABarpappp	30.8923086099334	22.1407019879647	3.528	0.896430188222631	0.320649635510951	0.305935824789828	0.858079349154062	0.314616487534326	0.0547206939729528	0.886830915169433
20190417_ref-2_JIM529_L2	ABarpappa	ABarpappaa	23.7613106606519	21.414588878771	2.016	ABarpappap	27.4189511815138	20.560023597386	3.528	0.90333427377771	-0.211053574962497	0.373421448652921	0.933657777578779	0.0677133852086094	0.190744516741559	0.900342012209182
20190417_ref-2_JIM529_L2	ABarpappp	ABarpapppa	25.8647190163172	17.7694368532284	6.048	ABarpapppp	30.7388794471034	17.2680107919219	6.552	0.989529187316523	-0.101797166915136	0.102319715875063	0.952708151694565	-0.0736459962143972	0.0794856224309403	0.958362423168704
20190417_ref-2_JIM529_L2	ABarpp	ABarppa	27.0467119097704	26.3005031875049	2.016	ABarppp	32.9692707402166	24.7594941349992	4.032	0.91918593060495	-0.239165853906991	0.312884833929118	0.829837419953978	0.10267778654084	0.484331410578661	0.889757813581448
20190417_ref-2_JIM529_L2	ABarppa	ABarppaa	25.4785220145109	26.8158869788741	3.528	ABarppap	29.6464040051401	28.7475007374163	5.544	0.830812264576719	0.385041708145807	0.401862991599205	0.792827816165629	0.499550745600331	-0.0822406027736513	0.817989491097903
20190417_ref-2_JIM529_L2	ABarppaa	ABarppaaa	26.3338219132677	30.2995290504978	5.04	ABarppaap	29.9804431735538	32.0549405076866	7.56	0.764880615984731	0.368198422826029	0.528571248479562	0.945704045362304	0.157184681669148	0.131846017211869	0.850915858563699
20190417_ref-2_JIM529_L2	ABarppaaa	ABarppaaaa	29.7983639332266	33.9681888319356	3.024	ABarppaaap	33.6277990512116	33.6363535156371	6.048	0.78299828275796	-0.0678498198337229	0.618312292572787	0.779162495967195	0.305975633151693	0.389353516281272	0.830064570022018
20190417_ref-2_JIM529_L2	ABarppaap	ABarppaapa	35.0293366709501	31.3802506145136	3.528	ABarppaapp	37.2773587809846	34.6957711758728	7.056	0.421144372214837	0.621129489405948	0.660935378945686	0.791329979884966	0.384852375341829	0.264001144072117	0.746795023185569
20190417_ref-2_JIM529_L2	ABarppap	ABarppapa	32.2380153094207	33.1084812289485	9.072	ABarppapp	37.1085026533484	33.4770474138333	11.088	0.921724536559976	0.0697500007628966	0.381521711173656	0.921098839565985	0.259115995539	0.137247625307894	0.919435690773401
20190417_ref-2_JIM529_L2	ABarppapa	ABarppapaa	36.402958830563	35.7360887844437	8.064	ABarppapap	40.407127015158	35.2309896362787	11.088	0.793986226248868	-0.100156074381694	0.599628746218466	0.870561843490807	0.108315018383855	0.385939331746654	0.911786023403255
20190417_ref-2_JIM529_L2	ABarppapp	ABarppappa	44.583089796876	35.2486204532	9.576	ABarppappp	47.2004127091671	33.5196552213934	12.096	0.65047789317015	-0.429696181571106	0.626290429465543	0.736009319348932	-0.219863486015346	0.536100278794471	0.908986765654182
20190417_ref-2_JIM529_L2	ABarppp	ABarpppa	32.2754807953787	24.2345603177976	8.568	ABarpppp	37.4785380729766	28.2585631714292	8.568	0.79103052752259	0.611776678639627	0	0.596728187828605	0.628673133248651	-0.217487954840759	0.856637774614488
20190417_ref-2_JIM529_L2	ABarpppa	ABarpppaa	30.3578247668993	25.0964717728999	5.04	ABarpppap	35.2217005544814	27.031024000929	7.056	0.867112127516673	0.344884156483016	0.359404336257239	0.882592978396944	0.24660402525548	0.234803678688415	0.934746356754372
20190417_ref-2_JIM529_L2	ABarpppaa	ABarpppaaa	31.0641032070565	22.6634319530512	2.016	ABarpppaap	34.9893529581213	20.2439825545795	4.032	0.77998745965879	-0.480769456663238	0.400599915520163	0.901957369196455	-0.0376552234820139	0.268658340478298	0.829243426953443
20190417_ref-2_JIM529_L2	ABarpppap	ABarpppapa	34.7290899016357	20.0688821792837	4.032	ABarpppapp	38.3852611877542	19.5623137963751	4.536	0.981430865741442	-0.135978817098301	0.135289382697059	0.875493900664913	-0.222061749638795	0.181988080169891	0.914053485943987
20190417_ref-2_JIM529_L2	ABarpppp	ABarppppa	40.0958609852677	26.5295979396225	7.56	ABarppppp	42.1801692892681	27.4084055942745	8.568	0.841658309258084	0.354868693541072	0.407037468547156	0.820640556038422	0.358677533824547	0.301238964598075	0.940597916312529
20190417_ref-2_JIM529_L2	ABarppppa	ABarppppaa	38.0409373761363	18.6908523154404	5.04	ABarppppap	41.6963740448831	18.3582823817701	6.552	0.920821460543036	-0.0837759096398076	0.380879816697357	0.911519339012076	0.18802045844941	0.251637577053342	0.919438658347074
20190417_ref-2_JIM529_L2	ABarppppp	ABarpppppa	44.47814538058	18.8920316074325	6.048	ABarpppppp	48.6474966059525	20.4756484674982	9.072	0.77375020254923	0.293888377352212	0.561195372140852	0.78747406315475	0.257383806222847	0.496747601854337	0.963722780318542
20190417_ref-2_JIM529_L2	ABp	ABpl	27.5349148583858	34.3066357045797	9.072	ABpr	39.0937434800265	16.6072786288117	14.112	0.531883087115217	-0.814441410074112	0.231917164516294	0.223532112642375	-0.183477408962013	0.75233966943126	0.442805032701003
20190417_ref-2_JIM529_L2	ABpl	ABpla	20.0772239144078	28.5330983327332	2.016	ABplp	28.4071109566923	33.7883134437236	6.552	0.768197913028152	0.484645861376496	0.418318485689823	0.551077641010905	0.497327052654882	0.585084210317857	0.909115732422005
20190417_ref-2_JIM529_L2	ABpla	ABplaa	15.9078726890353	26.9494814726675	3.528	ABplap	24.2575944003563	27.5067384542251	2.52	0.990619600532663	0.0661135433670946	-0.119590160230495	0.930149080418007	0.0728622160445077	-0.239244861523008	0.95485242108365
20190417_ref-2_JIM529_L2	ABplaa	ABplaaa	15.7066933970432	33.3866894771112	3.528	ABplaap	19.0170716368004	32.3566565117444	9.576	0.474863702402687	-0.147755099902647	0.86756722770813	0.538227723546199	0.598758461636993	0.502226877746566	0.602830773229287
20190417_ref-2_JIM529_L2	ABplaaa	ABplaaaa	8.25047168780865	27.2651552067881	6.048	ABplaaap	14.1612766403072	28.5081213420945	5.04	0.965247858688199	0.202979189834258	-0.164608686866993	0.855896639161939	-0.135825967365442	-0.391425197139569	0.863014541102994
20190417_ref-2_JIM529_L2	ABplaaaa	ABplaaaaa	10.1541699862253	29.7092142872126	7.56	ABplaaaap	13.6326697362469	30.0719035331236	3.528	0.651713881488074	0.0679515978764052	-0.755414850940721	0.781439618773872	0.18307121811504	-0.517400456943649	0.912567017954525
20190417_ref-2_JIM529_L2	ABplaaaaa	ABplaaaaaa	11.7106060035372	31.9778056836555	6.048	ABplaaaaap	15.8909764894856	30.9514458051473	4.032	0.879480484612793	-0.215929063314267	-0.424132899928158	0.928440751800928	0.0477207521003743	-0.0866499731714934	0.842992329426383
20190417_ref-2_JIM529_L2	ABplaaaaaa	ABplaaaaaaa	8.75997854020408	30.2253326959536	5.04	ABplaaaaaap	11.3743629830082	29.1923612610999	5.544	0.9154390990936	-0.361699841932039	0.176477987854113	0.898100035069341	0.0600487680266643	-0.106294748422727	0.781677573775248
20190417_ref-2_JIM529_L2	ABplaaaaap	ABplaaaaapa	15.7184472749908	30.6027142892991	8.064	ABplaaaaapp	18.5031570801746	30.4404697180084	5.04	0.676875956696926	-0.0394365866083479	-0.735039927406875	0.762675704661571	-0.00218226122159682	-0.563462406452708	0.930490274511472
