Cell	20081128_sulston	20190417_ref-2_JIM529_L2	20181207_JIM529_L4	20181030_JIM529_L2	20181101_JIM529_L4	20190321_ref-2_JIM529_L2	20190423_ref-2_JIM529_L2	20190417_ref-2_JIM529_L8	20190417_ref-2_JIM529_L7
ABalpaaaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaaaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaaap	62	45.2	54.4	62.3	49.9	52.8	46.8	46.8	45.1
ABalpaaapa	109	61.2	NA	94.3	72.6	75.8	70.1	66.2	NA
ABalpaaapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaaapap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaaapp	104	66.3	NA	84.1	76.4	77.4	68.6	68	NA
ABalpaaappa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaaappp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaap	38	29.3	33.3	37.5	36.8	38.5	32	29.3	27.5
ABalpaapa	48	37.1	41	50	46.1	49.4	43.8	43.7	35.1
ABalpaapaa	78	61.1	NA	72.7	72.5	80.8	64.4	57.8	NA
ABalpaapaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaapaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaapap	58	43.5	NA	56.5	49.9	50.5	46.5	44.3	NA
ABalpaapapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaapapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaapp	57	43.8	52.2	56.4	54.8	56.2	52.8	47	40.2
ABalpaappa	74	64.5	NA	91.6	82.6	79.1	74.6	69.6	NA
ABalpaappaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaappap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaappp	64	57.7	NA	69.1	71.2	69	61.3	57.7	NA
ABalpaapppa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaapppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpap	28	24.2	27	28.3	27.9	30.8	27.9	26	22.5
ABalpapa	38	29.3	34.5	37.5	39.3	40.1	33.5	31	31
ABalpapaa	52	38.8	46	51.3	47.2	51	45.3	43.7	40.1
ABalpapaaa	59	54.2	NA	67.9	66.1	69.1	55.3	59.4	NA
ABalpapaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapaaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapaap	84	62.7	NA	83	78.6	NA	74.7	71.3	NA
ABalpapaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapap	52	38.8	42.1	50.1	46	51	42.3	42	40.1
ABalpapapa	59	54.2	NA	67.8	67.5	65.6	56.9	59.5	NA
ABalpapapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapapap	104	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapapapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapapapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapapp	79	66.1	NA	80.3	78.7	84.1	73.3	67.9	NA
ABalpapappa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapappp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpapp	38	25.9	29.3	33.5	34.3	33.5	30.5	27.5	27.5
ABalpappa	42	35.5	38.4	45	41.1	47.7	39.2	37.1	33.5
ABalpappaa	84	59.3	NA	81.6	73.6	74.1	69	64.5	NA
ABalpappaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpappaap	89	NA	NA	NA	NA	NA	NA	NA	NA
ABalpappaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpappaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpappap	54	45.3	NA	57.7	53.7	59	52.6	47.5	NA
ABalpappapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpappapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpappp	39	37.1	39.6	45	41.1	46	39.2	35.5	35.2
