paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20110316_mir.1_L3.1	X20110316_mir.1_L2.1	X20110203_RW10890_pal.1_L4.1	X20110125_RW10890_pal.1_L3.1	X20110125_RW10890_pal.1_L4.1	X20101213_RW10889_pal.1_L2.1	X20101213_RW10889_pal.1_L3.1	X20110209_UP2051_mls.2_L1.1	X20110209_UP2051_mls.2_L2.1	X20110209_UP2051_mls.2_L3.1	X20110225_NX68_L3.1	X20110408_RW10425_pha.4_L2.1	X20110927_RW11144_L4.1	X20110929_ceh.43_L1.1	X20110726_RW10713_L1.1	X20110731_RW10434_L1.1	X20111116_RW10226_L4.1	X20110916_ceh.36_L1.1	X20120426_JIM122_L2.1	X20120612_JIM127_L4.1	X20120331_RW10871_L4.1	X20120807_mir.57_L4.1
ABarppaap 1	46	49	53	49	50	51	49	46	51	51	49	48	51	48	52	51	48	51	51	50	50	49	46	49	53	49	50	51	49	46	51	51	49	48	51	48	52	51	48	51	51	50	50	49
ABarppaapa NA																																												
ABarppaapp NA																																												
ABarppaappa NA																																												
ABarppaappp NA																																												
ABarppap 1	45	41	41	40	44	42	43	40	40	41	43	40	42	39	41	41	41	45	42	39	41	41	45	41	41	40	44	42	43	40	40	41	43	40	42	39	41	41	41	45	42	39	41	41
ABarppapa 1	53	58	53	54	52	55	54	51	57	55	52	58	56	60	57	56	55	60	56	56	56	59	53	58	53	54	52	55	54	51	57	55	52	58	56	60	57	56	55	60	56	56	56	59
ABarppapaa NA																																												
ABarppapap NA																																												
ABarppapp 1	53	55	56	61	56	58	56	53	57	57	53	58	56	57	56	54	54	60	58	58	61	57	53	55	56	61	56	58	56	53	57	57	53	58	56	57	56	54	54	60	58	58	61	57
ABarppappa NA																																												
ABarppappp NA																																												
ABarppp 1	31	29	28	29	30	29	30	29	28	29	29	28	29	29	27	30	29	28	28	28	30	29	31	29	28	29	30	29	30	29	28	29	29	28	29	29	27	30	29	28	28	28	30	29
ABarpppa 1	37	38	38	40	36	38	38	36	36	36	38	37	39	36	40	39	37	41	37	37	36	40	37	38	38	40	36	38	38	36	36	36	38	37	39	36	40	39	37	41	37	37	36	40
ABarpppaa 1	53	55	56	60	52	55	52	54	52	55	53	53	56	57	57	53	52	62	55	53	55	52	53	55	56	60	52	55	52	54	52	55	53	53	56	57	57	53	52	62	55	53	55	52
ABarpppaaa NA																																												
ABarpppaap NA																																												
ABarpppap 1	48	47	50	51	52	48	48	46	46	47	49	48	56	52	52	47	55	48	50	49	50	48	48	47	50	51	52	48	48	46	46	47	49	48	56	52	52	47	55	48	50	49	50	48
ABarpppapa NA																																												
ABarpppapp NA																					198																						198	
ABarpppappa NA																																												
ABarpppappp NA																																												
ABarpppp 1	41	41	39	40	40	42	41	40	40	41	43	39	40	42	40	37	41	43	39	39	41	40	41	41	39	40	40	42	41	40	40	41	43	39	40	42	40	37	41	43	39	39	41	40
ABarppppa 1	48	55	53	58	54	52	54	51	48	52	53	51	56	56	54	52	54	58	53	55	52	56	48	55	53	58	54	52	54	51	48	52	53	51	56	56	54	52	54	58	53	55	52	56
ABarppppaa NA																																												
ABarppppap NA																																												
ABarppppp 1	53	56	55	56	60	55	57	53	51	52	55	56	59	58	52	51	52	55	58	55	53	49	53	56	55	56	60	55	57	53	51	52	55	56	59	58	52	51	52	55	58	55	53	49
ABarpppppa NA																																												
ABarpppppp NA																																												
ABp 1						11							12	12	12		12		14									11							12	12	12		12		14			
ABpl 1	15	8	15		7	14	14	15	10	5	6	7	16	14	15	16	14	14	14	15	15	10	15	8	15		7	14	14	15	10	5	6	7	16	14	15	16	14	14	14	15	15	10
ABpla 1	18	16	17	9	19	18	17	17	16	17	18	17	16	15	16	16	17	17	17	16	18	16	18	16	17	9	19	18	17	17	16	17	18	17	16	15	16	16	17	17	17	16	18	16
ABplaa 1	27	27	25	25	26	22	24	26	26	25	29	26	25	24	26	26	26	27	26	25	25	26	27	27	25	25	26	22	24	26	26	25	29	26	25	24	26	26	26	27	26	25	25	26
ABplaaa 1	31	28	28	27	30	28	29	29	31	30	31	28	29	30	30	30	31	28	30	28	31	31	31	28	28	27	30	28	29	29	31	30	31	28	29	30	30	30	31	28	30	28	31	31
ABplaaaa 1	38	35	38	34	35	35	34	35	38	38	38	36	37	35	35	36	37	38	36	34	36	37	38	35	38	34	35	35	34	35	38	38	38	36	37	35	35	36	37	38	36	34	36	37
ABplaaaaa 1	53	52	52	49	50	52	51	51	56	54	52	52	49	48	52	52	49	53	55	56	52	54	53	52	52	49	50	52	51	51	56	54	52	52	49	48	52	52	49	53	55	56	52	54
ABplaaaaaa 1	90	92		92	82	98	84	86	95	93	96	97	88	108	91	95	92	86	91	88	88	87	90	92		92	82	98	84	86	95	93	96	97	88	108	91	95	92	86	91	88	88	87
ABplaaaaaaa NA																																												
ABplaaaaaap NA																																												
ABplaaaaap 1	62	65	66	65	62	66	61	63	64	62	65	62	62	65	60	61	63	61	62	61	62	62	62	65	66	65	62	66	61	63	64	62	65	62	62	65	60	61	63	61	62	61	62	62
ABplaaaaapa NA																																												
ABplaaaaapp 1															86				98		84	90															86				98		84	90
ABplaaaaappa NA																																												
ABplaaaaappp NA																																												
ABplaaaap 1	48	47	52	47	52	54	52	51	51	55	49	50	49	47	47	52	48	50	51	52	48	52	48	47	52	47	52	54	52	51	51	55	49	50	49	47	47	52	48	50	51	52	48	52
ABplaaaapa NA																																												
ABplaaaapp NA																																												
ABplaaap 1	36	38	38	34	40	37	38	37	38	38	43	36	37	35	38	38	40	41	37	36	38	38	36	38	38	34	40	37	38	37	38	38	43	36	37	35	38	38	40	41	37	36	38	38
ABplaaapa 1	51	52	56	54	54	57	54	56	59	57	55	53	54	57	57	54	55	52	55	56	56	54	51	52	56	54	54	57	54	56	59	57	55	53	54	57	57	54	55	52	55	56	56	54
ABplaaapaa NA																																												
ABplaaapap NA																																												
ABplaaapp 1	44	47	50	47	50	49	49	50	52	49	49	45	47	49	47	49	49	48	55	48	48	49	44	47	50	47	50	49	49	50	52	49	49	45	47	49	47	49	49	48	55	48	48	49
ABplaaappa NA																																												
ABplaaappp NA																																												
ABplaap 1	31	28	27	27	30	30	30	29	30	27	29	26	28	28	28	28	31	27	28	26	30	29	31	28	27	27	30	30	30	29	30	27	29	26	28	28	28	28	31	27	28	26	30	29
ABplaapa 1	36	38	41	36	37	37	38	37	38	35	40	38	35	35	36	38	41	37	37	36	38	38	36	38	41	36	37	37	38	37	38	35	40	38	35	35	36	38	41	37	37	36	38	38
ABplaapaa 1	49	47	50	49	50	52	51	51	52	51	52	48	49	48	49	47	48	48	51	53	50	49	49	47	50	49	50	52	51	51	52	51	52	48	49	48	49	47	48	48	51	53	50	49
ABplaapaaa 1	85	82	81	86	80	88	82	86	87	82	81	83	84	85	81	85	79	81	79	83	86	79	85	82	81	86	80	88	82	86	87	82	81	83	84	85	81	85	79	81	79	83	86	79
ABplaapaaaa NA																																												
ABplaapaaap NA																																												
ABplaapaap 1	67	70	72	74	73	71	70	71	75	72	74	70	70	68	71	71	66	72	67	71	71	66	67	70	72	74	73	71	70	71	75	72	74	70	70	68	71	71	66	72	67	71	71	66
ABplaapaapa NA																																												
ABplaapaapp NA																																												
ABplaapap 1	46	46	47	47	47	48	49	50	49	52	50	47	46	49	47	47	45	50	48	49	47	51	46	46	47	47	47	48	49	50	49	52	50	47	46	49	47	47	45	50	48	49	47	51
ABplaapapa 1	85	90	88	86	86	91	92	91	87	82	86	87	84	91	88	80	86	75	89	82	88	82	85	90	88	86	86	91	92	91	87	82	86	87	84	91	88	80	86	75	89	82	88	82
ABplaapapaa NA																																												
ABplaapapap NA																																												
ABplaapapp 1	59	62	62	63	64	66	64	65	65	60	65	67	64	61	64	59	63	62	67	61	63	63	59	62	62	63	64	66	64	65	65	60	65	67	64	61	64	59	63	62	67	61	63	63
ABplaapappa NA																																												
ABplaapappp 1																			103		97	98																			103		97	98
ABplaapapppa NA																																												
ABplaapapppp NA																																												
ABplaapp 1	32	32	35	31	33	34	36	33	33	33	37	33	32	31	35	32	36	36	34	33	35	33	32	32	35	31	33	34	36	33	33	33	37	33	32	31	35	32	36	36	34	33	35	33
ABplaappa 1	51	53	55	49	58	54	52	53	52	52	53	50	51	49	54	49	50	54	56	52	58	52	51	53	55	49	58	54	52	53	52	52	53	50	51	49	54	49	50	54	56	52	58	52
ABplaappaa NA																																												
ABplaappap NA																																												
ABplaappp 1	45	47	47	40	47	48	49	45	44	44	46	42	46	42	46	44	46	46	50	46	45	48	45	47	47	40	47	48	49	45	44	44	46	42	46	42	46	44	46	46	50	46	45	48
ABplaapppa NA																																												
ABplaapppp NA														91																						91								
ABplaappppa NA																																												
ABplaappppp NA																																												
ABplap 1	28	27	25	25	26	22	24	26	26	25	28	28	26	24	26	26	28	27	24	25	25	25	28	27	25	25	26	22	24	26	26	25	28	28	26	24	26	26	28	27	24	25	25	25
ABplapa 1	30	28	28	29	30	28	27	29	28	27	32	28	28	28	28	28	29	28	29	29	28	29	30	28	28	29	30	28	27	29	28	27	32	28	28	28	28	28	29	28	29	29	28	29
ABplapaa 1	38	38	38	36	39	43	41	38	38	40	40	37	37	36	38	38	41	39	37	36	41	40	38	38	38	36	39	43	41	38	38	40	40	37	37	36	38	38	41	39	37	36	41	40
ABplapaaa 1	48	47	50	46	47	51	46	48	47	47	49	47	47	47	47	46	48	48	50	49	48	52	48	47	50	46	47	51	46	48	47	47	49	47	47	47	47	46	48	48	50	49	48	52
ABplapaaaa 1	80	76	77	76	77	84	77	78	78	77	77	75	81	79	86	83	77	77	81	80	78	78	80	76	77	76	77	84	77	78	78	77	77	75	81	79	86	83	77	77	81	80	78	78
ABplapaaaaa NA																																												
ABplapaaaap 1																					118	108																					118	108
ABplapaaaapa NA																																												
ABplapaaaapp NA																																												
ABplapaaap 1	81	74	75	68	71	78	77	73	71	72	75	75	77	86	78	83	77	77	77	84	78	70	81	74	75	68	71	78	77	73	71	72	75	75	77	86	78	83	77	77	77	84	78	70
ABplapaaapa NA																						117																						117
ABplapaaapad NA																																												
ABplapaaapav NA																																												
ABplapaaapp NA																																												
ABplapaap 1	53	50	50	51	54	60	52	51	51	49	53	53	49	53	54	52	54	51	55	56	52	56	53	50	50	51	54	60	52	51	51	49	53	53	49	53	54	52	54	51	55	56	52	56
ABplapaapa NA																																												
ABplapaapp NA																																												
ABplapap 1	36	35	32	34	35	38	36	33	35	35	35	32	34	32	33	36	36	36	34	33	36	35	36	35	32	34	35	38	36	33	35	35	35	32	34	32	33	36	36	36	34	33	36	35
ABplapapa 1	48	49	52	47	50	49	46	50	47	51	50	46	52	48	54	47	49	50	48	50	52	48	48	49	52	47	50	49	46	50	47	51	50	46	52	48	54	47	49	50	48	50	52	48
ABplapapaa NA																																												
ABplapapaaa NA																																												
ABplapapaap NA																																												
ABplapapap NA																																												
ABplapapp 1	46	46	48	44	43	46	43	48	47	49	49	45	46	47	44	44	45	44	45	47	47	45	46	46	48	44	43	46	43	48	47	49	49	45	46	47	44	44	45	44	45	47	47	45
ABplapappa NA																																												
ABplapappp 1	88	88	89	86		88	80	86	92	90	81	87	93	90	88	88	90	86	87	81	91	90	88	88	89	86		88	80	86	92	90	81	87	93	90	88	88	90	86	87	81	91	90
ABplapapppa NA																																												
ABplapapppp 1																					89	94																					89	94
ABplapappppa NA																																												
ABplapappppaa NA																																												
ABplapappppap NA																																												
ABplapappppp NA																																												
ABplapp 1	30	30	28	29	30	30	29	29	30	29	31	26	28	30	28	30	31	30	29	29	30	29	30	30	28	29	30	30	29	29	30	29	31	26	28	30	28	30	31	30	29	29	30	29
ABplappa 1	38	37	39	34	39	37	38	38	36	35	37	36	39	36	36	34	37	41	39	37	38	37	38	37	39	34	39	37	38	38	36	35	37	36	39	36	36	34	37	41	39	37	38	37
ABplappaa 1	49	47	48	47	50	51	49	46	47	49	49	45	51	53	52	46	48	50	50	50	53	49	49	47	48	47	50	51	49	46	47	49	49	45	51	53	52	46	48	50	50	50	53	49
ABplappaaa NA																																												
ABplappaap NA																																												
ABplappap 1	46	46	50	49	49	51	51	48	49	49	52	47	51	49	51	49	48	47	50	49	50	48	46	46	50	49	49	51	51	48	49	49	52	47	51	49	51	49	48	47	50	49	50	48
ABplappapa NA																																												
ABplappapp NA																																												
ABplappp 1	40	38	41	38	40	42	38	40	41	38	41	42	40	39	38	39	40	41	40	40	41	43	40	38	41	38	40	42	38	40	41	38	41	42	40	39	38	39	40	41	40	40	41	43
ABplapppa 1	58	52	58	58	54	55	54	51	54	55	53	51	51	56	52	57	54	51	56	53	56	54	58	52	58	58	54	55	54	51	54	55	53	51	51	56	52	57	54	51	56	53	56	54
ABplapppaa 1	103	100		97	95		89	94	97	93	95	89	102	99	91	95	99	88	86	90	103	89	103	100		97	95		89	94	97	93	95	89	102	99	91	95	99	88	86	90	103	89
ABplapppaaa NA																																												
ABplapppaap NA																																												
ABplapppap 1	70	70	74	67	71	68	64	68	73	72	65	69	72	68	68	68	72	65	66	68	72	68	70	70	74	67	71	68	64	68	73	72	65	69	72	68	68	68	72	65	66	68	72	68
ABplapppapa NA																																												
ABplapppapp 1																			108		104	98																			108		104	98
ABplapppappa NA																																												
ABplapppappp NA																																												
ABplapppp 1	54	50	55	51	56	54	52	54	51	52	55	55	52	53	54	52	56	53	51	56	55	54	54	50	55	51	56	54	52	54	51	52	55	55	52	53	54	52	56	53	51	56	55	54
ABplappppa NA																																												
ABplappppp NA																																												
ABplp 1	20	18	17	11	19	18	17	17	18	17	18	17	16	16	16	16	19	18	17	16	18	16	20	18	17	11	19	18	17	17	18	17	18	17	16	16	16	16	19	18	17	16	18	16
ABplpa 1	27	26	25	25	28	24	27	27	26	27	29	28	26	24	27	26	26	27	24	25	27	26	27	26	25	25	28	24	27	27	26	27	29	28	26	24	27	26	26	27	24	25	27	26
ABplpaa 1	33	30	30	27	30	30	29	29	31	30	32	30	29	30	28	30	31	31	30	28	31	32	33	30	30	27	30	30	29	29	31	30	32	30	29	30	28	30	31	31	30	28	31	32
ABplpaaa 1	37	38	36	34	35	37	39	36	38	36	38	34	35	35	36	38	38	34	37	36	38	35	37	38	36	34	35	37	39	36	38	36	38	34	35	35	36	38	38	34	37	36	38	35
ABplpaaaa 1	43	43	47	44	43	44	46	48	49	47	47	43	46	48	46	44	45	44	45	50	47	48	43	43	47	44	43	44	46	48	49	47	47	43	46	48	46	44	45	44	45	50	47	48
ABplpaaaaa 1	75	76	80	76	76	78	79	80	84	77	74	72	76	85	76	73	76	78	76	80	73	73	75	76	80	76	76	78	79	80	84	77	74	72	76	85	76	73	76	78	76	80	73	73
ABplpaaaaaa NA																																												
ABplpaaaaap NA																																												
ABplpaaaap 1	65	66	75	68	69	69	70	68	71	64	71	68	67	72	69	68	66	66	69	71	66	62	65	66	75	68	69	69	70	68	71	64	71	68	67	72	69	68	66	66	69	71	66	62
ABplpaaaapa NA																																												
ABplpaaaapp NA																																												
ABplpaaap 1	46	43	50	46	45	49	48	48	47	47	49	45	46	49	51	47	46	46	46	50	48	48	46	43	50	46	45	49	48	48	47	47	49	45	46	49	51	47	46	46	46	50	48	48
ABplpaaapa 1	96	95		99	88	98	100	94	94	95	92	93	94	102	93	95	101	88	91	93	91	87	96	95		99	88	98	100	94	94	95	92	93	94	102	93	95	101	88	91	93	91	87
ABplpaaapaa NA																																												
ABplpaaapap NA																																												
ABplpaaapp 1	62	63	66	63	64	69	70	68	65	64	69	67	69	66	66	68	68	66	64	72	65	65	62	63	66	63	64	69	70	68	65	64	69	67	69	66	66	68	68	66	64	72	65	65
ABplpaaappa 1																			117		108	113																			117		108	113
ABplpaaappaa NA																																												
ABplpaaappap NA																																												
ABplpaaappp NA																																												
ABplpaap 1	37	37	36	34	35	37	34	35	35	35	37	34	35	34	35	34	38	34	34	34	40	35	37	37	36	34	35	37	34	35	35	35	37	34	35	34	35	34	38	34	34	34	40	35
ABplpaapa 1	46	47	50	47	47	51	51	50	50	49	50	48	49	51	52	49	48	48	50	49	48	51	46	47	50	47	47	51	51	50	50	49	50	48	49	51	52	49	48	48	50	49	48	51
ABplpaapaa 1	75	74	77	78	80	78	84	71	72	75	74	74	70	82	73	75	74	73	86	75	75	73	75	74	77	78	80	78	84	71	72	75	74	74	70	82	73	75	74	73	86	75	75	73
ABplpaapaaa NA																																												
ABplpaapaap NA																																												
ABplpaapap 1	80	73	78	74	75	75	79	84	75	75	74	77	72	79	70	73	79	73	76	75	72	68	80	73	78	74	75	75	79	84	75	75	74	77	72	79	70	73	79	73	76	75	72	68
ABplpaapapa NA																																												
ABplpaapapp NA																																												
ABplpaapp 1	41	44	50	42	45	48	46	45	47	46	46	47	44	46	49	44	45	46	46	44	44	46	41	44	50	42	45	48	46	45	47	46	46	47	44	46	49	44	45	46	46	44	44	46
ABplpaappa 1	72	71	80	72	73	72	69	74	75	72	71	72	70	78	71	73	79	74	72	72	70	71	72	71	80	72	73	72	69	74	75	72	71	72	70	78	71	73	79	74	72	72	70	71
ABplpaappaa NA																																												
ABplpaappap NA																																												
ABplpaappp 1	70	68	74	68	66	69	64	70	71	69	66	65	67	73	69	68	73	67	66	68	66	68	70	68	74	68	66	69	64	70	71	69	66	65	67	73	69	68	73	67	66	68	66	68
ABplpaapppa NA																																												
ABplpaapppp 1																			113		107	111																			113		107	111
ABplpaappppa NA																																												
ABplpaappppp NA																																												
ABplpap 1	30	28	28	27	30	28	27	29	28	29	29	28	29	29	28	30	29	30	29	26	30	29	30	28	28	27	30	28	27	29	28	29	29	28	29	29	28	30	29	30	29	26	30	29
ABplpapa 1	35	35	36	34	35	37	38	36	38	36	38	36	35	34	36	36	36	36	37	34	38	37	35	35	36	34	35	37	38	36	38	36	38	36	35	34	36	36	36	36	37	34	38	37
ABplpapaa 1	50	50	50	51	50	54	54	53	50	52	52	53	47	52	52	52	52	50	50	52	52	54	50	50	50	51	50	54	54	53	50	52	52	53	47	52	52	52	52	50	50	52	52	54
ABplpapaaa 1	78	79	88	81	77	77	74	81	57	83	77	78	79	75	80	73	80	76	81	86	78	81	78	79	88	81	77	77	74	81	57	83	77	78	79	75	80	73	80	76	81	86	78	81
ABplpapaaaa NA																																												
ABplpapaaap NA																																												
ABplpapaap 1	76	81	86	79	79	78	74	76	81	78	78	82	77	88	74	80	77	80	82	80	73	76	76	81	86	79	79	78	74	76	81	78	78	82	77	88	74	80	77	80	82	80	73	76
ABplpapaapa NA																																												
ABplpapaapp NA																																												
ABplpapap 1	46	49	48	47	47	51	51	51	49	47	49	48	47	47	47	49	46	48	46	49	48	49	46	49	48	47	47	51	51	51	49	47	49	48	47	47	47	49	46	48	46	49	48	49
ABplpapapa 1	68	65	72	68	71	72	75	68	73	69	68	70	67	69	68	66	70	65	67	69	68	66	68	65	72	68	71	72	75	68	73	69	68	70	67	69	68	66	70	65	67	69	68	66
ABplpapapaa NA																																												
ABplpapapap NA																																												
ABplpapapp 1	73	71	77	68	69	69	72	73	72	67	69	67	74	76	71	68	77	68	71	74	70	63	73	71	77	68	69	69	72	73	72	67	69	67	74	76	71	68	77	68	71	74	70	63
ABplpapappa NA																																												
ABplpapappp NA																																												
ABplpapp 1	32	34	35	33	33	34	34	32	35	35	37	32	34	32	33	32	33	33	34	33	35	35	32	34	35	33	33	34	34	32	35	35	37	32	34	32	33	32	33	33	34	33	35	35
ABplpappa 1	43	44	42	40	43	44	44	43	44	44	44	41	42	44	47	42	40	46	43	43	45	43	43	44	42	40	43	44	44	43	44	44	44	41	42	44	47	42	40	46	43	43	45	43
ABplpappaa 1	50	42	55	54	56	57	56	54	49	56	53	53	51	53	53	51	54	57	52	55	50	54	50	42	55	54	56	57	56	54	49	56	53	53	51	53	53	51	54	57	52	55	50	54
ABplpappaaa NA																																												
ABplpappaap NA																																												
ABplpappap NA																																												
ABplpappp 1	51	50	53	51	50	57	52	53	49	54	58	48	49	51	57	49	52	52	55	49	52	48	51	50	53	51	50	57	52	53	49	54	58	48	49	51	57	49	52	52	55	49	52	48
ABplpapppa 1	78	74	81	72	75	82	80	75	78	80	77	73	74	81	73	75	80	71	71	71	71	79	78	74	81	72	75	82	80	75	78	80	77	73	74	81	73	75	80	71	71	71	71	79
ABplpapppaa NA																																												
ABplpapppap NA																																												
ABplpapppp 1	80	79	88	79	84	86	85	76	79	90	78	85	76	81	79	78	79	76	82	77	78	76	80	79	88	79	84	86	85	76	79	90	78	85	76	81	79	78	79	76	82	77	78	76
ABplpappppa NA																																												
ABplpappppp NA																																												
ABplpp 1	28	26	27	25	28	25	27	27	26	27	28	30	30	26	27	28	26	28	26	25	27	28	28	26	27	25	28	25	27	27	26	27	28	30	30	26	27	28	26	28	26	25	27	28
ABplppa 1	32	33	28	29	34	30	32	31	31	32	34	30	29	31	30	32	32	31	30	31	31	31	32	33	28	29	34	30	32	31	31	32	34	30	29	31	30	32	32	31	30	31	31	31
ABplppaa 1	41	41	42	38	42	46	46	41	40	41	44	40	39	38	43	41	40	38	39	39	43	41	41	41	42	38	42	46	46	41	40	41	44	40	39	38	43	41	40	38	39	39	43	41
ABplppaaa 1	54	53	55	54	56	54	56	53	54	57	55	52	51	52	54	54	52	53	55	55	53	56	54	53	55	54	56	54	56	53	54	57	55	52	51	52	54	54	52	53	55	55	53	56
ABplppaaaa 1	62	59	60	60	64	64	59	64	60	60	60	60	60	58	58	60	58	60	61	62	60	63	62	59	60	60	64	64	59	64	60	60	60	60	60	58	58	60	58	60	61	62	60	63
ABplppaaaaa NA																																												
ABplppaaaap 1															94				103		80	100															94				103		80	100
ABplppaaaapa NA																																												
ABplppaaaapp NA																																												
ABplppaaap NA																																												
ABplppaap 1	51	50	50	51	52	49	52	50	51	51	49	50	49	49	52	49	49	51	51	49	52	51	51	50	50	51	52	49	52	50	51	51	49	50	49	49	52	49	49	51	51	49	52	51
ABplppaapa 1	77	89	86	83	88	89		83	94	85	80	84	83	86	80	82	90	85	82	84	83	84	77	89	86	83	88	89		83	94	85	80	84	83	86	80	82	90	85	82	84	83	84
ABplppaapaa NA																																												
ABplppaapap NA																																												
ABplppaapp 1	72	72	81	78	90	77	80	78	78	75	74	78	77	82	78	73	74	73	76	83	75	71	72	72	81	78	90	77	80	78	78	75	74	78	77	82	78	73	74	73	76	83	75	71
ABplppaappa NA																																												
ABplppaappp NA																																												
ABplppap 1	38	37	39	36	38	40	41	40	38	38	40	33	37	35	38	39	40	37	36	36	41	38	38	37	39	36	38	40	41	40	38	38	40	33	37	35	38	39	40	37	36	36	41	38
ABplppapa 1	48	49	48	47	50	49	51	48	51	50	50	50	47	48	49	49	49	51	50	50	47	48	48	49	48	47	50	49	51	48	51	50	50	50	47	48	49	49	49	51	50	50	47	48
ABplppapaa 1	72	68	69	67	68	68	70	70	71	67	66	67	69	70	64	66	67	70	67	70	68	65	72	68	69	67	68	68	70	70	71	67	66	67	69	70	64	66	67	70	67	70	68	65
ABplppapaaa NA																																												
ABplppapaaaa NA																																												
ABplppapaaap NA																																												
ABplppapaap NA																																												
ABplppapap 1	83	88	89	85	92	80		94	86	90	86	90	95	85	86	87	92	82	81	90	85	84	83	88	89	85	92	80		94	86	90	86	90	95	85	86	87	92	82	81	90	85	84
ABplppapapa NA																																												
ABplppapapp NA																																												
ABplppapp 1	50	52	52	51	58	54	56	54	54	55	52	56	49	53	52	51	52	52	56	55	52	52	50	52	52	51	58	54	56	54	54	55	52	56	49	53	52	51	52	52	56	55	52	52
ABplppappa 1	76	76	81	72	75	75	80	83	78	78	74	75	81	81	74	75	82	73	74	75	75	78	76	76	81	72	75	75	80	83	78	78	74	75	81	81	74	75	82	73	74	75	75	78
ABplppappaa NA																																												
ABplppappap NA																																												
ABplppappp 1	93	87		85	94	82		88	91	90	83	87	93	102	79	90	86	89	84	97	81	79	93	87		85	94	82		88	91	90	83	87	93	102	79	90	86	89	84	97	81	79
ABplppapppa NA																																												
ABplppapppp NA																																												
ABplppp 1	31	30	28	29	32	28	29	31	30	29	32	28	29	29	28	30	31	29	28	28	31	30	31	30	28	29	32	28	29	31	30	29	32	28	29	29	28	30	31	29	28	28	31	30
ABplpppa 1	37	37	36	34	35	35	38	36	36	38	38	34	35	35	36	36	37	37	34	34	38	37	37	37	36	34	35	35	38	36	36	38	38	34	35	35	36	36	37	37	34	34	38	37
ABplpppaa 1	46	49	48	49	52	55	51	48	49	47	49	48	49	48	49	49	48	46	50	50	50	49	46	49	48	49	52	55	51	48	49	47	49	48	49	48	49	49	48	46	50	50	50	49
ABplpppaaa 1	73	81	86	81	71	77	82	76	78	85	76	77	77	83	76	82	86	75	82	80	78	73	73	81	86	81	71	77	82	76	78	85	76	77	77	83	76	82	86	75	82	80	78	73
ABplpppaaaa NA																																												
ABplpppaaap NA																																												
ABplpppaap 1	76	78	84	70	73	74	76	76	79	75	72	72	74	76	74	76	77	71	76	74	75	76	76	78	84	70	73	74	76	76	79	75	72	72	74	76	74	76	77	71	76	74	75	76
ABplpppaapa NA																																												
ABplpppaapaa NA																																												
ABplpppaapap NA																																												
ABplpppaapp NA																																												
ABplpppap 1	46	49	52	47	54	52	51	50	47	51	49	50	47	49	51	49	49	47	48	49	48	48	46	49	52	47	54	52	51	50	47	51	49	50	47	49	51	49	49	47	48	49	48	48
ABplpppapa 1	54	51	53	54	55	52	56	54	56	60	51	50	54	52	51	49	54	51	54	51	55	52	54	51	53	54	55	52	56	54	56	60	51	50	54	52	51	49	54	51	54	51	55	52
ABplpppapaa NA																																												
ABplpppapap NA																																												
ABplpppapp NA																																												
ABplpppp 1	37	37	34	34	35	35	36	35	36	36	35	34	34	34	36	34	36	34	32	34	36	35	37	37	34	34	35	35	36	35	36	36	35	34	34	34	36	34	36	34	32	34	36	35
ABplppppa 1	45	44	47	44	47	46	48	45	46	47	47	45	44	44	47	47	46	47	46	47	47	48	45	44	47	44	47	46	48	45	46	47	47	45	44	44	47	47	46	47	46	47	47	48
ABplppppaa 1	76	70	81	74	71	71	72	73	79	74	69	75	65	66	66	71	76	68	72	72	71	70	76	70	81	74	71	71	72	73	79	74	69	75	65	66	66	71	76	68	72	72	71	70
ABplppppaaa NA																																												
ABplppppaap NA																																												
ABplppppap 1	75	68	80	74	67	74	76	69	75	69	75	72	70	70	66	70	71	70	70	75	70	71	75	68	80	74	67	74	76	69	75	69	75	72	70	70	66	70	71	70	70	75	70	71
ABplppppapa NA																																												
ABplppppapp NA																																												
ABplppppp 1	46	46	50	47	52	49	52	51	49	49	52	47	49	48	47	52	48	47	48	47	48	49	46	46	50	47	52	49	52	51	49	49	52	47	49	48	47	52	48	47	48	47	48	49
ABplpppppa 1	86	87	94	86	86	88	90	91	87		101	87	86	115	84	94		82	88	90	88	81	86	87	94	86	86	88	90	91	87		101	87	86	115	84	94		82	88	90	88	81
ABplpppppaa NA																																												
ABplpppppap NA																																												
ABplpppppp 1	68	70	75	76	73	64	70	73	76	70	69	70	72	65	69	64	67	61	60	66	68	74	68	70	75	76	73	64	70	73	76	70	69	70	72	65	69	64	67	61	60	66	68	74
ABplppppppa NA																																												
ABplppppppp NA																																												
