paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20110316_mir.1_L3.1	X20110316_mir.1_L2.1	X20110203_RW10890_pal.1_L4.1	X20110125_RW10890_pal.1_L3.1	X20110125_RW10890_pal.1_L4.1	X20101213_RW10889_pal.1_L2.1	X20101213_RW10889_pal.1_L3.1	X20110209_UP2051_mls.2_L1.1	X20110209_UP2051_mls.2_L2.1	X20110209_UP2051_mls.2_L3.1	X20110225_NX68_L3.1	X20110408_RW10425_pha.4_L2.1	X20110927_RW11144_L4.1	X20110929_ceh.43_L1.1	X20110726_RW10713_L1.1	X20110731_RW10434_L1.1	X20111116_RW10226_L4.1	X20110916_ceh.36_L1.1	X20120426_JIM122_L2.1	X20120612_JIM127_L4.1	X20120331_RW10871_L4.1	X20120807_mir.57_L4.1
ABalpaaappp NA																																												
ABalpaap 1	36	35	35	33	33	34	36	33	33	35	37	32	35	32	32	34	34	36	37	34	35	35	36	35	35	33	33	34	36	33	33	35	37	32	35	32	32	34	34	36	37	34	35	35
ABalpaapa 1	40	38	42	39	38	38	43	40	40	42	41	40	39	40	38	41	42	42	41	43	42	40	40	38	42	39	38	38	43	40	40	42	41	40	39	40	38	41	42	42	41	43	42	40
ABalpaapaa 1	66	72	75	70	69	69	72	73	68	77	71	68	69	66	71	69	68	76	69	81	70	71	66	72	75	70	69	69	72	73	68	77	71	68	69	66	71	69	68	76	69	81	70	71
ABalpaapaaa NA																																												
ABalpaapaap NA																																												
ABalpaapap 1	50	49	47	49	52	52	54	48	52	49	50	48	46	49	46	49	51	51	47	52	49	49	50	49	47	49	52	52	54	48	52	49	50	48	46	49	46	49	51	51	47	52	49	49
ABalpaapapa NA																																												
ABalpaapapp NA																																												
ABalpaapp 1	49	50	52	47	45	49	56	53	49	52	53	50	51	53	46	52	46	53	53	52	53	49	49	50	52	47	45	49	56	53	49	52	53	50	51	53	46	52	46	53	53	52	53	49
ABalpaappa 1	93	81	94	83	88	83	85	86	84	90	86	85	93	99	86	75	83	77	76	78	89	82	93	81	94	83	88	83	85	86	84	90	86	85	93	99	86	75	83	77	76	78	89	82
ABalpaappaa NA																																												
ABalpaappap NA																																												
